Exercise_Name,URL,Thumbnail_URL
Barbell Back Squat,https://www.youtube.com/watch?v=rrJIyZGlK8c,https://i.ytimg.com/vi/rrJIyZGlK8c/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBGzh7NHzRme5Nm17juGZnqPHyCrw
Hack Squats On The Hack Squat Machine,https://www.youtube.com/watch?v=scs5XcsZuc8,https://i.ytimg.com/vi/scs5XcsZuc8/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCsxrA79sDHSjsp7-NHM1KLbk4qJw
Split Squat,https://www.youtube.com/watch?v=rlvpaDkc76g,https://i.ytimg.com/vi/rlvpaDkc76g/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCn_BqXz3j-ZTzsPG9O3GB-AHkflw
LEG EXERCISE  - How to do the clock lunge,https://www.youtube.com/watch?v=qgyVlbiU5yE,https://i.ytimg.com/vi/qgyVlbiU5yE/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDO_o9xeB8Yr0Bo_lEJ0d5Z9AT-vw
Lateral Lunges (Side Lunges),https://www.youtube.com/watch?v=apsp_uuXZTU,https://i.ytimg.com/vi/apsp_uuXZTU/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAKRLmFuq-gG2HsYy7ds6motXtZpQ
Curtsy Lunge,https://www.youtube.com/watch?v=2EyH9MN7hYE,https://i.ytimg.com/vi/2EyH9MN7hYE/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB5NGaukJllCeQJccC0mtQAjcKUpg
Walking Lunges,https://www.youtube.com/watch?v=mAgbXQdd4LM,https://i.ytimg.com/vi/mAgbXQdd4LM/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCMsAyxAwOOd7eHroDIRG3cAZkqsA
Sprinter Lunges,https://www.youtube.com/watch?v=c0AVozbLZFQ,https://i.ytimg.com/vi/c0AVozbLZFQ/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLA9ntSObKf6YsM0Po5tCrXuTS-02g
Half Burpee (A Down Up),https://www.youtube.com/watch?v=XzCDSM0cdro,https://i.ytimg.com/vi/XzCDSM0cdro/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAVL22exyPrzE1WL1txPZV60LrMEw
The Arnold Press,https://www.youtube.com/watch?v=jeJttN2EWCo,https://i.ytimg.com/vi/jeJttN2EWCo/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCicZ0ZnnzU7GrzJa6LZ4VPEEv3kA
The Military Press,https://www.youtube.com/watch?v=43GSKivZnw4,https://i.ytimg.com/vi/43GSKivZnw4/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBaaKBPkxuobEhqKaS8c5Q8PbKeAA
Shoulder Press,https://www.youtube.com/watch?v=GLrn1vVHz24,https://i.ytimg.com/vi/GLrn1vVHz24/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB13LdngRyxmTKaA68oahjpELvung
Cable Curl,https://www.youtube.com/watch?v=GNlopToAZyg,https://i.ytimg.com/vi/GNlopToAZyg/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCasfBsnCSIT2K2jDzWo_RND02Yaw
Concentration Curls,https://www.youtube.com/watch?v=llD6MImgqe8,https://i.ytimg.com/vi/llD6MImgqe8/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAs97wa5TpDcCLRr0aUP62CkjFNAQ
Hammer Curls,https://www.youtube.com/watch?v=B4RznoFvTl4,https://i.ytimg.com/vi/B4RznoFvTl4/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBhBTopGFhRaQfWnqhHzt9ipmabsw
Preacher Curls,https://www.youtube.com/watch?v=Zbs3ko8ycyg,https://i.ytimg.com/vi/Zbs3ko8ycyg/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBFosdl2drXuahTQl1guYaZRUegsQ
Spider Curls,https://www.youtube.com/watch?v=9Dd8iiEUs_Q,https://i.ytimg.com/vi/9Dd8iiEUs_Q/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDn3k_tJlUXlm72Kx4CWZWn3IhKrQ
Zottman Curl,https://www.youtube.com/watch?v=27l5XYDMNYQ,https://i.ytimg.com/vi/27l5XYDMNYQ/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAOTrBukBp6oc2gpgGcsOuAgCb1Tg
How To  Do A Single Leg Glute Bridge,https://www.youtube.com/watch?v=sVfp4LN9niA,https://i.ytimg.com/vi/sVfp4LN9niA/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAr9E_-J9HuO-8k_gGDXsnboAiPbA
Barbell Glute Bridge,https://www.youtube.com/watch?v=DQv1IMQDbE4,https://i.ytimg.com/vi/DQv1IMQDbE4/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAEELJ7F289zhlfp-HGN80qD9JHaA
